muy,sehr
ha,Er hat
esta,ist
así,So
vamos,wir gehen
algo,etwas
hay,es gibt
bueno,Okay
tengo,ich habe
él,das
cuando,Wenn
estás,sind
sé,ER
tú,dein
nos,uns
nada,irgendein
cómo,Was
este,Ost
o,entweder
he,Er
ser,sein
tiene,haben
puedo,Kann ich
ella,sie
quiero,Ich will
hacer,tun
fue,es war
gracias,Danke
vez,Zeit
era,es war
soy,bin
sólo,Single
todos,alle
porque,Weil
son,sind
tienes,Sie haben
creo,Ich finde
voy,ich gehe
sabes,du weißt
estaba,ich war
puede,kann
eres,sind
ese,das
usted,Sie
entonces,dann
hola,hallo
solo,nur
verdad,Wahrheit
