estoy,bin
ahora,jetzt
muy,sehr
ha,Er hat
esta,ist
así,So
vamos,wir gehen
algo,etwas
hay,es gibt
bueno,Okay
tengo,ich habe
él,das
cuando,Wenn
estás,sind
sé,ER
tú,dein
nos,uns
nada,irgendein
cómo,Was
este,Ost
o,entweder
he,Er
ser,sein
tiene,haben
puedo,Kann ich
ella,sie
quiero,Ich will
hacer,tun
fue,es war
gracias,Danke
vez,Zeit
era,es war
soy,bin
sólo,Single
todos,alle
porque,Weil
son,sind
tienes,Sie haben
creo,Ich finde
voy,ich gehe
sabes,du weißt
estaba,ich war
puede,kann
eres,sind
ese,das
usted,Sie
entonces,dann
hola,hallo
solo,nur
verdad,Wahrheit
casa,Haus
tan,Also
quién,wer
sus,ihr
tiempo,Wetter
dos,zwei
esa,Dies
nunca,noch nie
dónde,wo
va,geht
oh,Oh
favor,favorisieren
mucho,viel
mí,mein
quieres,Sie wollen
siento,ich fühle
señor,Herr
mejor,besser
hace,tut
has,Sie haben
decir,erzählen
también,Auch
sobre,an
dios,Gott
sin,ohne
tenemos,wir haben
están,ist es so
ti,Sie
puedes,Du könntest
ver,Uhr
hombre,Männer
vida,Leben
alguien,jemand
cosas,Sachen
siempre,bis in alle Ewigkeit
hasta,bis um
ahí,dort
ir,gehen
años,Jahre
antes,Vor
estar,sein
ni,weder
poco,ein kleines bisschen
día,Tag
uno,eines
noche,Nacht
hecho,erledigt
mis,mein
estamos,war
otra,Sonstiges
acuerdo,Zustimmung
trabajo,hat funktioniert
nosotros,uns
parece,Es scheint
gente,Personen
sea,sein
padre,Papa
mira,sehen
mismo,gleich
dijo,sagte
nadie,niemand
quiere,will
podría,könnte
hablar,sprechen
vas,du gehst
ellos,sie
sr.,Herr.
tal,eine solche
pasa,das passiert
fuera,außen
después,nach
han,Sie haben
desde,seit
dinero,Geld
mundo,Welt
claro,Sicher
momento,Moment
les,Sie
tener,haben
estado,Bedingung
otro,Sonstiges
había,dort war
mañana,Morgen
tenía,ich hatte
madre,Mutter
vale,okay
lugar,Platz
haciendo,Herstellung
donde,wo
seguro,sicher
sabe,weiß
podemos,kann
tus,dein
espera,Warten
nuevo,Neu
sido,gewesen
cosa,Sachen
hijo,Sohn
allí,da drüben
menos,weniger
tipo,Typ
amigo,Alter
gran,Großartig
nuestro,unser
mujer,Frau
luego,später
papá,Vater
días,Tage
dice,Er sagt
hoy,heute
tres,drei
buena,gut
necesito,erforderlich
dije,sagte
oye,hört
gusta,wie
quería,gesucht
será,wird sein
haber,haben
parte,Teil
todas,alle
crees,Sie glauben
buen,gut
conmigo,mit mir
nombre,Name
mierda,Scheisse
nuestra,unser
mal,falsch
debe,muss
realmente,Wirklich
estas,diese
aún,eben
mío,Besitzen
toda,alle
hacerlo,Tu es
cada,jeder
visto,gesehen
importa,Es ist wichtig
contigo,mit dir
tienen,haben
hemos,wir haben
razón,Grund
alguna,etwas
tanto,so sehr
saber,wissen
hizo,gemacht
veces,mal
serio,Ich lachte
ven,Kommen Sie
idea,Idee
eh,Hey
tarde,Nachmittag
problema,Ausgabe
hora,Stunde
cierto,sicher
dicho,Sprichwort
quien,wer
demasiado,zu
amor,Liebe
entre,Komm herein
ve,gehen
pasado,vorbei an
familia,Familie
estos,diese
policía,Polizist
debería,sollte
ustedes,dein
chica,Mädchen
esos,diese
chicos,Jungs
cuenta,Rechnung
haces,Sie machen
todavía,noch
salir,verlassen
algún,etwas
vaya,Beeindruckend
unos,etwas
veo,Aha
amigos,Freunde
hermano,Bruder
pensé,ich dachte
sabía,ich wusste
cabeza,Kopf
